Codigo        Descripcion del Med.                 Cant.        DNI         Nombre                                  
========================================================================================================================
30796         PROPANOLOL 40 MG C/20 TAB               5         51642949    Miranda/Alfonso                         
53846         CLENBUTEROL .02MG 50T                   17        51642949    Miranda/Alfonso                         
31883         ACIDO NALIDIXICO SUSP                   19        51642949    Miranda/Alfonso                         
72969         ISOSORBIDE 10MG T/20                    30        61061535    Solis/Maria                             
57269         SIMVASTATINA 10 MG C14                  12        61061535    Solis/Maria                             
57269         SIMVASTATINA 10 MG C14                  15        61061535    Solis/Maria                             
37007         DIFENHIDRAMINA 250MG JBE 120ML          19        61061535    Solis/Maria                             
57036         OXOLAMINA JBE 100ML                     5         61061535    Solis/Maria                             
17804         PIROXICAM 30 GM CRA                     5         54815159    Patino/Delicia                          
75565         MICONAZOL 20 GR CRA                     26        54815159    Patino/Delicia                          
36711         TIBOLONA 2.5MG 30T                      16        54815159    Patino/Delicia                          
12388         PROTEINAS+CREATINA 500 GR 30T           17        54815159    Patino/Delicia                          
72061         DEFLAZACORT 30MG 10T                    28        15290194    Hernandez/Guillermo                     
72061         DEFLAZACORT 30MG 10T                    18        15290194    Hernandez/Guillermo                     
17790         DICLOFENACO 100MG 20T                   23        15290194    Hernandez/Guillermo                     
39088         NORFLOXACINO T20 400MG                  35        15290194    Hernandez/Guillermo                     
17790         DICLOFENACO 100MG 20T                   21        15290194    Hernandez/Guillermo                     
17790         DICLOFENACO 100MG 20T                   25        15290194    Hernandez/Guillermo                     
79996         LANSOPRAZOL 15 MG C/14                  10        35347567    Sedano/Elia                             
38648         PENICILINA V POT 400000U 20T            28        35347567    Sedano/Elia                             
37007         DIFENHIDRAMINA 250MG JBE 120ML          33        35347567    Sedano/Elia                             
18672         TINIDAZOL 500MG 8T                      12        35347567    Sedano/Elia                             
95540         NAPROXENO 500 MG C/10 TAB               23        35347567    Sedano/Elia                             
97465         GLIBENCLAMIDA 5 MG C/50                 33        35347567    Sedano/Elia                             
34066         SULINDACO 200MG/20 TAB                  6         52313890    Rivero/Wilver                           
14962         HIERRO DEXTRANO AMP4                    19        52313890    Rivero/Wilver                           
15098         LISINA CLOHRIDRATO 125MG T10            17        93282118    Zambrano/Ofelia                         
